 82 CH1.txt[]
 35 CH2.txt[]
 53 CH3.txt[]
 93 CH4.txt[]
 120 CH5.txt[]
 85 CH6.txt[]
sorry 7 CH5.txt[4301,4307,4401,4702,5528,6125,6492]
sorry 2 CH6.txt[1166,4136]
sort 1 CH4.txt[3379]
sort 4 CH5.txt[2088,4200,4226,4337]
sort 4 CH6.txt[1564,4337,5286,5313]
sorta 1 CH5.txt[4643]
soul 1 CH5.txt[1855]
sounding 2 CH1.txt[2973,3954]
sounding 2 CH5.txt[4306,5139]
sounding 1 CH6.txt[3154]
sparks 1 CH5.txt[6062]
speak 1 CH2.txt[3073]
speak 2 CH3.txt[444,2680]
speak 2 CH5.txt[3883,6305]
speak 2 CH6.txt[56,207]
special 1 CH1.txt[4578]
special 1 CH2.txt[1422]
special 2 CH5.txt[4852,6442]
sped 2 CH1.txt[809,4456]
sped 1 CH5.txt[762]
speed 3 CH5.txt[721,3508,3520]
speed 1 CH6.txt[2483]
spell 2 CH4.txt[2143,3310]
spell 2 CH5.txt[1571,2642]
spell 3 CH6.txt[4247,4427,4722]
spells 2 CH5.txt[778,1294]
spells 1 CH6.txt[4443]
spindly 3 CH5.txt[5251,5349,5976]
spleens 1 CH5.txt[2635]
spoke 2 CH1.txt[2506,3980]
spoke 2 CH2.txt[1236,3252]
spoke 1 CH3.txt[2582]
spoke 1 CH4.txt[1133]
spoke 2 CH5.txt[788,5674]
spoke 2 CH6.txt[318,6015]
spore 1 CH5.txt[1328]
sport 1 CH3.txt[123]
sport 2 CH5.txt[4614,4616]
sposed 1 CH5.txt[675]
spots 1 CH5.txt[6072]
spotted 2 CH1.txt[1362,4199]
spotted 1 CH4.txt[2375]
spotted 1 CH5.txt[5582]
springy 1 CH5.txt[5942]
squat 1 CH5.txt[3868]
stack 1 CH5.txt[2454]
stacked 2 CH5.txt[2630,4730]
stalactite 1 CH5.txt[3296]
stalactites 1 CH5.txt[3266]
stalagmite 1 CH5.txt[3293]
stalagmites 2 CH5.txt[3268,3297]
stammered 1 CH4.txt[1415]
stammered 1 CH5.txt[2071]
stammering 1 CH5.txt[5136]
stamps 1 CH5.txt[4749]
stand 1 CH1.txt[4210]
stand 2 CH5.txt[2350,3578]
standard 2 CH5.txt[1291,1363]
standing 2 CH1.txt[453,659]
standing 1 CH3.txt[3031]
standing 1 CH4.txt[104]
standing 5 CH5.txt[442,2672,3913,4158,5355]
standing 1 CH6.txt[5175]
stare 2 CH1.txt[1235,3119]
stare 2 CH4.txt[842,1083]
stare 1 CH5.txt[6138]
stared 2 CH1.txt[487,492]
stared 1 CH2.txt[2620]
stared 4 CH3.txt[758,1121,1618,3024]
stared 2 CH4.txt[1031,2037]
stared 2 CH5.txt[1020,1154]
stared 7 CH6.txt[387,1375,2717,2753,3434,3886,4897]
staring 2 CH1.txt[1926,2327]
staring 1 CH2.txt[2460]
staring 3 CH3.txt[918,2921,3863]
staring 1 CH5.txt[691]
staring 2 CH6.txt[3063,6166]
started 1 CH1.txt[4012]
started 2 CH2.txt[359,2898]
started 3 CH3.txt[32,3154,3680]
started 1 CH4.txt[2167]
started 2 CH5.txt[2925,3881]
started 3 CH6.txt[796,1384,1706]
starts 1 CH1.txt[279]
starts 1 CH5.txt[6527]
station 4 CH5.txt[1034,1121,6351,6636]
station 5 CH6.txt[218,512,610,883,2260]
steeply 1 CH5.txt[3135]
steered 1 CH5.txt[1718]
steering 1 CH1.txt[647]
steering 1 CH5.txt[3210]
stepped 1 CH1.txt[4256]
stepped 2 CH5.txt[2428,5239]
steps 2 CH5.txt[1014,2701]
steps 2 CH6.txt[1724,6323]
stern 1 CH1.txt[1403]
stern 1 CH5.txt[5627]
stern 1 CH6.txt[2367]
still 5 CH1.txt[1160,1426,1922,2103,2326]
still 1 CH2.txt[177]
still 5 CH3.txt[917,1134,1827,2661,3249]
still 8 CH4.txt[753,775,1576,2097,2831,2905,2949,3765]
still 11 CH5.txt[81,637,690,966,1176,1850,3850,5022,5640,6119,6564]
still 6 CH6.txt[2219,2594,2943,4214,5454,6336]
stitches 1 CH5.txt[1186]
stone 1 CH2.txt[2394]
stone 3 CH5.txt[1013,2700,3127]
stone 1 CH6.txt[6322]
stones 2 CH5.txt[2861,4740]
stood 2 CH1.txt[1281,4303]
stood 1 CH2.txt[2452]
stood 1 CH3.txt[3529]
stood 1 CH4.txt[2221]
stood 3 CH5.txt[3751,3929,4939]
stood 2 CH6.txt[5389,6189]
stool 1 CH5.txt[3933]
stools 1 CH5.txt[2845]
stop 1 CH1.txt[3332]
stop 2 CH3.txt[1051,2834]
stop 7 CH4.txt[1099,1102,1181,1602,1653,3327,3331]
stop 5 CH5.txt[474,904,3349,4406,5135]
stop 2 CH6.txt[1334,1446]
stopped 3 CH1.txt[970,3071,4440]
stopped 1 CH2.txt[1522]
stopped 1 CH3.txt[2884]
stopped 1 CH4.txt[1775]
stopped 3 CH5.txt[1781,3327,4455]
stopped 4 CH6.txt[622,761,1023,5910]
stores 1 CH5.txt[1525]
storm 4 CH3.txt[3339,3538,3559,3641]
storm 2 CH4.txt[177,1536]
storm 2 CH5.txt[120,649]
straight 1 CH1.txt[1166]
straight 1 CH5.txt[168]
straight 1 CH6.txt[1324]
strange 2 CH1.txt[38,291]
strange 3 CH2.txt[1652,3208,3320]
strange 1 CH3.txt[2324]
strange 3 CH4.txt[1826,2207,2672]
strange 2 CH5.txt[2621,6400]
strange 1 CH6.txt[3403]
strangelooking 1 CH5.txt[290]
strangely 1 CH1.txt[608]
strangely 1 CH5.txt[5261]
strangely 1 CH6.txt[617]
stranger 1 CH1.txt[1293]
stranger 1 CH4.txt[224]
stranger 1 CH5.txt[2754]
stream 1 CH5.txt[6057]
street 14 CH1.txt[225,411,798,2132,2285,2336,2392,2425,2481,3540,3825,4435,4460,4487]
street 2 CH2.txt[3314,3400]
street 5 CH5.txt[1018,1548,2408,2514,3973]
stretched 1 CH3.txt[1759]
stretched 1 CH4.txt[1287]
stretched 1 CH5.txt[346]
strict 1 CH5.txt[5269]
string 1 CH5.txt[278]
strings 1 CH5.txt[4957]
stroked 1 CH1.txt[1037]
stroked 1 CH4.txt[3549]
stroked 1 CH5.txt[3584]
strongly 1 CH3.txt[3450]
strongly 1 CH5.txt[4024]
stuck 1 CH5.txt[1450]
students 4 CH5.txt[1230,1280,1378,2313]
students 2 CH6.txt[1584,5943]
study 1 CH5.txt[4871]
studyin 1 CH5.txt[2268]
stuff 1 CH1.txt[1757]
stuff 2 CH3.txt[218,1548]
stuff 2 CH4.txt[982,3640]
stuff 3 CH5.txt[364,587,4938]
stung 1 CH5.txt[3213]
stupid 3 CH1.txt[638,1046,2694]
stupid 1 CH2.txt[2542]
stupid 2 CH3.txt[94,555]
stupid 1 CH5.txt[4091]
stupid 3 CH6.txt[805,4404,4721]
subject 1 CH1.txt[1891]
subject 1 CH5.txt[2318]
substance 1 CH5.txt[5759]
such 3 CH1.txt[47,1049,3116]
such 1 CH3.txt[2849]
such 1 CH4.txt[79]
such 2 CH5.txt[89,5800]
such 2 CH6.txt[4463,4907]
sucked 1 CH5.txt[3609]
sudden 1 CH5.txt[6035]
suddenly 6 CH1.txt[1548,2164,2320,3736,4174,4467]
suddenly 2 CH2.txt[2071,2596]
suddenly 1 CH3.txt[969]
suddenly 4 CH4.txt[1095,1684,1939,2369]
suddenly 5 CH5.txt[61,1847,4150,5626,5808]
suddenly 5 CH6.txt[1228,1800,2364,2765,6059]
summat 2 CH4.txt[396,528]
summat 1 CH5.txt[835]
sun 1 CH2.txt[31]
sun 2 CH5.txt[2449,6275]
sunlight 3 CH5.txt[118,629,3755]
supple 1 CH5.txt[6027]
supply 1 CH5.txt[4977]
suppose 4 CH1.txt[1850,2821,3429,3449]
suppose 1 CH2.txt[1343]
suppose 4 CH4.txt[2051,2284,2440,3573]
suppose 3 CH5.txt[2129,4423,5613]
suppose 3 CH6.txt[4663,4773,4881]
sure 3 CH1.txt[1055,1077,1375]
sure 2 CH2.txt[2685,3128]
sure 3 CH3.txt[2055,2193,2314]
sure 1 CH4.txt[3020]
sure 3 CH5.txt[3655,6249,6413]
sure 2 CH6.txt[532,4423]
surname 1 CH5.txt[4383]
surprised 1 CH1.txt[3619]
surprised 1 CH2.txt[2530]
surprised 1 CH5.txt[3121]
swallowed 1 CH1.txt[3713]
swallowed 1 CH2.txt[1316]
swallowed 2 CH5.txt[5272,6196]
swarthy 1 CH5.txt[2716]
swelling 1 CH5.txt[163]
swimming 1 CH3.txt[505]
swimming 1 CH5.txt[2329]
swishing 1 CH4.txt[3451]
swishing 1 CH5.txt[6049]
swishy 1 CH5.txt[5419]
switch 1 CH5.txt[1319]
swooped 1 CH1.txt[2137]
swooped 1 CH5.txt[178]
symbols 1 CH5.txt[4758]
table 3 CH2.txt[416,825,912]
table 4 CH3.txt[594,662,2545,2961]
table 1 CH5.txt[6505]
tags 1 CH5.txt[1276]
tail 1 CH1.txt[2179]
tail 2 CH2.txt[2712,2737]
tail 1 CH4.txt[3508]
tail 2 CH5.txt[5767,6158]
tail 2 CH6.txt[469,5580]
take 1 CH1.txt[3703]
take 3 CH2.txt[1075,1346,3289]
take 3 CH3.txt[1546,2805,3026]
take 3 CH4.txt[755,1294,3651]
take 6 CH5.txt[2756,2768,2904,3037,5869,6578]
take 4 CH6.txt[370,428,4824,5303]
taking 1 CH1.txt[4195]
taking 2 CH4.txt[619,1496]
taking 1 CH5.txt[5833]
taking 5 CH6.txt[457,3458,4695,5067,6237]
talk 1 CH1.txt[3676]
talk 1 CH3.txt[2524]
talk 1 CH5.txt[3728]
talk 4 CH6.txt[394,1592,2817,4210]
talking 2 CH2.txt[2146,3045]
talking 1 CH4.txt[1551]
talking 2 CH5.txt[1761,4407]
talking 2 CH6.txt[986,3243]
tall 2 CH1.txt[2198,3883]
tall 1 CH5.txt[1045]
tall 2 CH6.txt[1269,2210]
tap 1 CH3.txt[1150]
tap 3 CH5.txt[93,94,95]
tape 3 CH5.txt[5696,5812,5843]
tapped 1 CH2.txt[2476]
tapped 3 CH5.txt[751,2354,6360]
tapping 1 CH5.txt[64]
tapping 2 CH6.txt[914,937]
tawny 1 CH1.txt[338]
tawny 1 CH5.txt[2573]
teabags 1 CH5.txt[281]
teach 1 CH4.txt[3405]
teach 1 CH5.txt[2093]
teachers 1 CH3.txt[383]
teachers 1 CH5.txt[2067]
tears 1 CH3.txt[422]
tears 1 CH5.txt[1880]
teh 1 CH5.txt[494]
telescope 2 CH5.txt[1373,4910]
telescopes 1 CH5.txt[2619]
tell 4 CH1.txt[1617,1818,2785,3453]
tell 1 CH3.txt[1329]
tell 6 CH4.txt[929,1110,1984,2017,2023,3681]
tell 7 CH5.txt[11,37,534,1978,3086,3104,5045]
tell 5 CH6.txt[785,906,1163,3703,5309]
ten 4 CH2.txt[4,94,3153,3155]
ten 3 CH3.txt[2729,3708,3833]
ten 1 CH4.txt[2350]
ten 3 CH5.txt[2162,3634,5413]
ten 8 CH6.txt[595,643,684,856,945,1090,1332,1399]
tent 1 CH5.txt[1175]
ter 1 CH1.txt[4223]
ter 28 CH4.txt[527,928,1595,1983,1995,2200,2306,2308,2311,2361,2432,2512,2619,2858,2925,3319,3338,3353,3565,3586,3606,3618,3626,3630,3650,3680,3719,3728]
ter 19 CH5.txt[352,358,528,554,584,676,702,717,822,830,2186,2242,2278,2811,2903,3103,4645,4842,4875]
terms 1 CH5.txt[3482]
terrible 1 CH2.txt[1879]
terrible 1 CH4.txt[2212]
terrible 1 CH5.txt[6241]
terrified 2 CH4.txt[237,3532]
terrified 1 CH5.txt[2143]
than 1 CH1.txt[690]
than 6 CH2.txt[524,546,717,856,2139,2560]
than 3 CH3.txt[1042,1784,2359]
than 4 CH4.txt[1117,1386,2120,2576]
than 8 CH5.txt[1156,2711,2802,3410,3716,3795,3805,4679]
than 7 CH6.txt[2531,3911,5127,5254,5273,5423,5434]
thanks 1 CH3.txt[238]
thanks 1 CH5.txt[5138]
thanks 4 CH6.txt[1782,2184,3722,5317]
that 51 CH1.txt[17,151,229,264,290,412,518,569,600,674,684,708,725,781,942,1126,1147,1163,1194,1232,1304,1363,1501,1590,1597,1619,1959,2007,2056,2278,2461,2709,2736,3055,3075,3127,3164,3182,3191,3267,3279,3698,3803,3963,4066,4077,4321,4337,4463,4612,4632]
that 30 CH2.txt[74,165,398,656,706,737,783,795,806,936,942,1005,1184,1256,1363,1395,1623,1717,1791,1965,1997,2253,2281,2342,2665,2671,3176,3310,3442,3446]
that 27 CH3.txt[334,344,409,742,1129,1162,1394,1397,1586,1679,1720,1748,1782,1955,2045,2165,2194,2281,2476,2672,2724,3136,3679,3779,3792,3801,3809]
that 29 CH4.txt[81,151,258,302,513,936,1026,1351,1426,1572,1655,1709,1714,1716,1763,1801,1885,2392,2459,2464,2636,2738,2974,3154,3195,3243,3605,3735,3752]
that 40 CH5.txt[208,439,536,856,964,1063,1269,1393,1461,1503,1532,1569,1583,1593,1703,2021,2113,2254,2789,2985,3088,3106,3474,3606,3766,3789,4145,4473,4876,5479,5491,5535,5562,5609,5810,5836,6154,6176,6193,6576]
that 22 CH6.txt[151,302,467,539,815,947,1411,1794,2251,2352,2385,3206,3324,3347,3605,3800,4540,4884,5145,5377,5400,6005]
thats 6 CH1.txt[955,957,2742,3247,3292,4336]
thats 1 CH2.txt[853]
thats 2 CH3.txt[1006,1365]
thats 4 CH4.txt[2469,2500,2807,2866]
thats 8 CH5.txt[2688,4175,4324,4393,4834,5510,5721,6549]
thats 6 CH6.txt[1343,2719,4424,4787,4904,4935]
the 203 CH1.txt[0,28,52,90,114,116,134,168,209,215,220,224,226,230,252,273,284,301,342,358,380,390,407,410,415,455,481,489,499,503,507,516,526,543,573,591,626,646,698,729,742,759,765,786,797,867,875,882,895,953,979,999,1032,1087,1130,1153,1171,1177,1195,1213,1216,1267,1274,1284,1339,1344,1358,1378,1383,1394,1422,1482,1488,1492,1502,1545,1553,1569,1584,1595,1622,1679,1687,1694,1759,1822,1890,1903,1909,1916,1919,1949,1976,2010,2027,2087,2090,2112,2130,2146,2155,2157,2175,2177,2205,2232,2322,2331,2335,2340,2343,2385,2390,2405,2415,2418,2423,2431,2435,2438,2466,2470,2480,2490,2494,2520,2541,2544,2546,2657,2675,2756,2803,2813,2876,2982,3048,3053,3080,3088,3177,3179,3228,3256,3312,3329,3338,3406,3440,3472,3486,3536,3539,3551,3589,3655,3727,3782,3810,3824,3843,3853,3858,3865,3873,3923,3971,3976,4010,4031,4113,4138,4190,4252,4258,4265,4273,4292,4299,4307,4318,4350,4386,4390,4400,4405,4434,4437,4444,4479,4482,4486,4492,4497,4525,4537,4540,4566,4602,4608,4616,4643,4659]
the 181 CH2.txt[0,9,19,30,34,42,47,60,67,79,82,85,127,142,158,170,181,200,204,219,230,234,237,243,255,282,291,313,339,388,391,410,413,415,432,440,444,575,582,584,620,638,658,666,671,678,699,718,721,742,749,754,817,824,886,911,978,1007,1025,1044,1056,1110,1118,1142,1158,1231,1233,1324,1334,1349,1360,1458,1466,1508,1541,1544,1552,1555,1558,1649,1665,1681,1734,1823,1833,1862,1873,1885,1888,1913,1915,1947,1956,1960,1966,1994,2026,2029,2051,2080,2134,2184,2190,2200,2205,2209,2259,2278,2292,2309,2337,2359,2374,2377,2411,2415,2437,2443,2458,2462,2478,2481,2493,2500,2518,2524,2548,2568,2576,2589,2592,2594,2638,2643,2658,2673,2680,2686,2696,2708,2719,2732,2739,2751,2764,2806,2814,2823,2850,2852,2867,2871,2877,2888,2893,2901,2904,2926,2929,2936,2943,2946,2978,2994,3060,3129,3142,3150,3184,3227,3235,3271,3297,3313,3353,3362,3399,3401,3411,3419,3425]
the 218 CH3.txt[0,5,8,18,28,80,99,104,108,110,137,144,147,171,200,208,222,241,349,352,382,412,466,487,495,538,593,637,661,665,668,675,678,693,709,716,722,735,794,824,827,835,846,858,896,915,926,929,938,945,953,977,987,992,1024,1057,1070,1092,1136,1152,1187,1220,1229,1232,1252,1272,1289,1305,1347,1380,1424,1431,1479,1551,1582,1606,1615,1627,1648,1696,1714,1718,1731,1762,1822,1845,1848,1862,1893,1896,1907,1927,1940,1944,1953,1962,1980,2064,2072,2086,2096,2104,2107,2114,2127,2131,2139,2150,2166,2181,2184,2231,2235,2240,2268,2290,2343,2370,2377,2381,2389,2393,2405,2417,2420,2435,2463,2472,2486,2497,2501,2513,2543,2577,2588,2591,2603,2607,2614,2628,2634,2653,2659,2664,2668,2691,2738,2744,2748,2754,2763,2812,2892,2919,2924,2952,2955,2981,2993,3010,3020,3022,3038,3078,3093,3100,3105,3118,3143,3149,3161,3164,3174,3207,3210,3234,3283,3297,3318,3321,3383,3404,3429,3438,3441,3444,3453,3457,3460,3464,3497,3546,3557,3566,3570,3573,3580,3591,3602,3612,3623,3635,3640,3648,3674,3683,3693,3696,3721,3729,3744,3764,3793,3798,3814,3818,3854,3865]
the 125 CH4.txt[0,3,13,30,48,74,96,106,139,141,147,156,163,173,176,209,223,245,251,259,278,323,328,331,334,363,381,387,455,464,469,483,539,543,556,581,591,604,610,626,665,670,682,690,699,716,736,759,782,794,844,850,915,918,923,934,1111,1124,1150,1216,1219,1222,1243,1295,1306,1309,1314,1512,1517,1527,1531,1535,1553,1584,1635,1736,1772,1822,1886,1931,1980,2005,2039,2080,2233,2242,2253,2285,2314,2331,2341,2418,2422,2524,2530,2533,2535,2537,2568,2590,2610,2637,2700,2743,2784,2802,2818,2827,2867,3079,3083,3141,3207,3354,3362,3387,3449,3454,3483,3525,3538,3644,3653,3683,3774]
the 273 CH5.txt[5,72,113,119,128,140,170,176,182,192,198,213,217,231,246,254,258,300,312,322,337,371,390,469,506,514,544,548,615,617,624,628,630,645,648,687,747,755,758,794,815,847,892,926,962,973,995,1000,1012,1017,1029,1033,1120,1143,1159,1189,1217,1288,1290,1346,1452,1456,1462,1468,1476,1506,1584,1594,1633,1659,1671,1679,1683,1690,1699,1763,1776,1798,1805,1831,1843,1857,1871,1901,1905,1939,1981,2098,2145,2149,2179,2204,2290,2307,2312,2336,2339,2355,2360,2365,2376,2430,2440,2448,2458,2513,2522,2524,2528,2603,2653,2668,2698,2704,2761,2825,2873,2892,2931,2940,2945,2952,2979,3010,3018,3021,3054,3068,3072,3075,3109,3144,3155,3198,3215,3237,3271,3283,3286,3289,3325,3335,3346,3355,3395,3426,3451,3485,3521,3544,3554,3565,3585,3611,3667,3693,3732,3754,3840,3885,3900,3903,3950,3955,3972,3978,4034,4093,4148,4153,4183,4192,4206,4213,4235,4268,4295,4303,4335,4344,4367,4377,4409,4414,4425,4435,4483,4515,4565,4577,4583,4623,4634,4647,4727,4732,4745,4806,4846,4914,4941,4952,4965,4970,4973,5006,5081,5174,5191,5202,5223,5232,5235,5288,5298,5303,5309,5348,5366,5369,5378,5449,5477,5481,5516,5533,5553,5568,5642,5770,5779,5791,5811,5831,5842,5850,5878,5918,5964,5975,5979,5986,5988,6002,6030,6042,6052,6065,6077,6155,6210,6213,6273,6279,6294,6298,6312,6326,6338,6363,6420,6437,6451,6496,6504,6507,6529,6574,6582,6610,6630,6635,6658]
the 280 CH6.txt[0,11,27,134,142,181,189,195,198,226,254,327,353,358,371,416,482,511,521,550,554,570,609,625,650,686,693,719,773,790,813,821,828,830,847,851,862,879,915,919,938,978,1039,1043,1082,1106,1109,1112,1128,1130,1136,1143,1153,1175,1209,1216,1243,1260,1286,1290,1304,1326,1377,1433,1448,1467,1514,1520,1534,1538,1541,1568,1571,1576,1589,1606,1632,1653,1656,1665,1685,1694,1697,1714,1723,1747,1753,1766,1780,1798,1808,1817,1832,1843,1865,1882,1886,1893,1900,1904,1927,1935,1944,1967,1981,2011,2025,2043,2072,2091,2103,2134,2143,2212,2237,2259,2270,2280,2295,2348,2407,2413,2419,2453,2460,2476,2492,2499,2502,2507,2537,2540,2545,2558,2571,2585,2604,2612,2615,2631,2657,2660,2713,2776,2828,2838,2893,2962,3066,3176,3202,3217,3220,3244,3270,3287,3302,3332,3343,3371,3424,3442,3577,3616,3665,3689,3692,3740,3755,3762,3765,3791,3847,3864,3892,3909,3914,3953,3995,4047,4068,4084,4089,4094,4114,4120,4170,4211,4227,4246,4279,4295,4301,4361,4369,4429,4482,4516,4545,4590,4595,4603,4653,4696,4788,4811,4875,4886,4982,5019,5023,5033,5037,5040,5053,5062,5070,5074,5077,5088,5102,5109,5143,5163,5179,5195,5245,5284,5311,5353,5374,5462,5487,5524,5542,5567,5571,5636,5668,5694,5698,5758,5774,5790,5806,5846,5862,5869,5891,5894,5898,5901,5903,5916,5929,5939,5942,5964,6018,6054,6062,6075,6082,6111,6114,6143,6155,6169,6184,6195,6199,6207,6223,6241,6272,6295,6311,6314,6327,6350]
their 11 CH1.txt[126,147,964,1550,1838,2040,2447,2667,3932,4459,4648]
their 6 CH2.txt[16,54,1515,2300,2545,2987]
their 9 CH3.txt[1223,2460,2477,2645,2648,2735,2960,3413,3420]
their 3 CH4.txt[1891,2282,3187]
their 14 CH5.txt[458,466,954,985,1151,1398,1667,2531,2586,2778,2955,4005,6286,6334]
their 21 CH6.txt[1393,1554,1594,1912,1976,2110,2362,2403,2428,2465,3296,3569,4117,4150,5619,5819,5824,5888,5913,6122,6204]
them 17 CH1.txt[334,678,813,892,899,934,989,2019,2038,2069,2721,3018,3510,3576,3813,3863,4302]
them 14 CH2.txt[378,380,396,1259,1520,1670,1927,2060,2777,2798,3007,3254,3269,3359]
them 16 CH3.txt[113,318,1227,1236,1330,2307,2559,2767,3027,3072,3076,3146,3369,3387,3534,3563]
them 9 CH4.txt[23,56,187,853,1622,2705,2838,3502,3541]
them 28 CH5.txt[377,1038,1342,1564,1747,2168,2202,2479,2527,2601,2752,2823,3113,3158,3220,3224,3421,3845,3991,4357,4766,4863,5158,5357,5652,6268,6324,6392]
them 22 CH6.txt[243,419,726,997,1021,2425,2665,2867,3248,3487,3635,3927,4902,5168,5366,5529,5841,6004,6176,6211,6238,6279]
then 5 CH1.txt[439,703,3715,4173,4288]
then 8 CH2.txt[233,880,983,1465,2203,2621,2653,3405]
then 6 CH3.txt[259,1488,1898,2215,2801,3216]
then 10 CH4.txt[71,515,1537,1782,1798,1835,2046,2257,2413,2448]
then 14 CH5.txt[194,332,608,798,1920,2272,3679,3986,4242,4911,5578,5730,5853,6584]
then 15 CH6.txt[548,1226,1415,1705,1855,2139,2484,2580,2651,2760,4005,4382,5933,6139,6288]
theory 1 CH5.txt[1308]
there 13 CH1.txt[128,280,448,461,601,1056,1096,1524,1770,1923,2014,3631,3994]
there 10 CH2.txt[97,178,267,830,1141,1245,1908,2130,2731,3264]
there 11 CH3.txt[72,196,460,816,853,1052,1668,1744,3333,3338,3470]
there 18 CH4.txt[18,58,67,573,578,1104,1158,1212,1960,2104,2640,2907,2951,2969,3021,3366,3461,3582]
there 24 CH5.txt[59,132,638,931,1086,1122,1202,1443,1554,1566,1658,1921,2214,2294,2612,2804,2864,3138,3428,3616,3782,4103,4159,5337]
there 32 CH6.txt[247,399,635,669,824,1223,1232,1552,1873,2129,2321,2553,2625,3071,3280,3477,3482,3565,4100,4109,4488,4690,5291,5536,5705,5720,5956,6008,6013,6049,6262,6335]
theres 1 CH3.txt[1901]
theres 1 CH4.txt[2670]
theres 9 CH5.txt[67,237,791,894,965,1199,4639,4657,4684]
theres 1 CH6.txt[3225]
these 4 CH1.txt[657,716,1531,3603]
these 1 CH2.txt[3416]
these 2 CH3.txt[2319,2979]
these 2 CH4.txt[1172,2719]
these 4 CH5.txt[1066,2886,4786,6207]
these 2 CH6.txt[3504,3583]
they 22 CH1.txt[18,26,42,138,141,156,159,177,238,255,663,800,909,950,1743,1893,1960,2454,2695,3819,3838,4053]
they 14 CH2.txt[1339,2113,2168,2218,2223,2240,2306,2356,2632,2854,2996,3135,3322,3421]
they 26 CH3.txt[217,371,519,663,1120,1294,1358,1712,1883,2034,2056,2304,2366,2372,2656,2732,2783,2786,2795,2832,2933,2947,2990,3097,3427,3776]
they 14 CH4.txt[6,42,558,1062,1420,1764,1806,1871,2302,2693,2713,2936,3059,3689]
they 57 CH5.txt[463,683,761,789,864,909,1009,1026,1093,1117,1484,1519,1687,1783,1791,2284,2392,2427,2510,2544,2659,2695,2733,2737,2829,3122,3159,3173,3256,3415,3512,3528,3533,3750,4101,4105,4311,4316,4317,4332,4365,4372,4454,4480,4714,4895,4912,5071,5096,5238,5614,5631,6309,6330,6356,6384,6470]
they 48 CH6.txt[54,63,229,335,584,588,653,662,965,1010,1022,1034,1909,2244,2415,2859,2942,2973,3037,3235,3240,3253,3263,3599,3874,3876,3981,3985,4041,4148,4782,4910,4929,4932,5182,5255,5359,5534,5632,5886,5985,6178,6201,6226,6244,6252,6289,6316]
theyd 1 CH1.txt[2647]
theyd 1 CH2.txt[1582]
theyd 2 CH3.txt[1724,2047]
theyd 2 CH4.txt[2729,3067]
theyd 2 CH5.txt[3403,3607]
theyd 2 CH6.txt[5546,5648]
theyre 7 CH1.txt[2691,2852,3158,3192,3250,3277,3471]
theyre 1 CH2.txt[1473]
theyre 2 CH3.txt[1303,2327]
theyre 1 CH4.txt[1048]
theyre 5 CH5.txt[484,2553,4283,4341,5085]
theyre 3 CH6.txt[2951,3594,5139]
theyve 2 CH1.txt[1627,3524]
theyve 1 CH5.txt[4346]
theyve 1 CH6.txt[4837]
thief 1 CH5.txt[2793]
things 5 CH1.txt[294,1322,1940,3330,4548]
things 2 CH2.txt[1653,2021]
things 6 CH3.txt[565,719,1585,1716,1887,2448]
things 5 CH4.txt[623,972,1501,2213,3130]
things 10 CH5.txt[594,722,885,1055,1065,2525,6208,6223,6239,6473]
things 2 CH6.txt[455,3404]
think 8 CH1.txt[158,213,1071,1971,2646,2873,3594,3752]
think 2 CH2.txt[1572,2171]
think 3 CH3.txt[599,1302,1525]
think 4 CH4.txt[3104,3113,3147,3763]
think 9 CH5.txt[449,2109,3313,4008,4124,4259,4331,4371,6218]
think 11 CH6.txt[2063,2355,2800,2805,3053,3070,4810,4931,5227,5306,5582]
thinks 1 CH5.txt[6440]
thinks 1 CH6.txt[2950]
thirteen 6 CH5.txt[3017,3082,3498,3574,5541,6198]
this 17 CH1.txt[244,635,709,913,1262,1406,1943,2187,2266,2874,2906,3526,3599,3765,4126,4363,4634]
this 9 CH2.txt[870,1176,1240,1783,2041,2505,2746,2786,3223]
this 14 CH3.txt[125,213,386,510,581,1505,1547,1609,1837,2051,2527,2831,3188,3352]
this 16 CH4.txt[937,940,951,1546,1760,1795,1944,2100,2106,2158,2160,2416,2620,2688,2756,2821]
this 20 CH5.txt[673,841,866,993,1405,1543,1576,1624,1715,1837,1840,2746,3401,3650,3723,4298,5181,5822,5857,6182]
this 21 CH6.txt[76,342,351,615,2149,2643,3116,3517,3697,4307,4403,4524,4945,4954,4976,5094,5149,5187,5191,6046,6264]
those 1 CH1.txt[1132]
those 1 CH3.txt[3511]
those 1 CH4.txt[3300]
those 4 CH5.txt[2766,5439,5506,6448]
those 2 CH6.txt[2834,3976]
though 7 CH1.txt[793,1931,2258,2779,2870,3415,3738]
though 9 CH2.txt[428,1173,1242,1250,1313,1685,1785,2682,3229]
though 4 CH3.txt[337,1101,1723,3545]
though 2 CH4.txt[597,1545]
though 7 CH5.txt[158,389,704,1609,2105,5263,5644]
though 6 CH6.txt[66,801,2183,2380,2762,2875]
thought 9 CH1.txt[555,859,991,1296,1788,2001,2036,2169,3740]
thought 3 CH2.txt[946,2236,3306]
thought 5 CH3.txt[212,446,583,3527,3547]
thought 3 CH4.txt[868,950,2319]
thought 8 CH5.txt[75,381,839,1604,2147,3229,3675,5383]
thought 6 CH6.txt[204,614,2680,3161,5535,6007]
thousand 2 CH5.txt[1321,2607]
thousands 1 CH5.txt[5289]
three 1 CH1.txt[4300]
